Topic,temperature1,temperature2,AverageSimilarity
1,0.0,1.75,0.93349564
1,0.0,2.0,0.870628
1,0.25,0.0,1.0000001
1,0.25,0.25,1.0000001
1,0.25,0.5,0.9562917
1,0.25,0.75,0.9781938
1,0.25,1.0,0.91258323
1,0.25,1.25,0.857344
1,0.25,1.5,0.8780724
1,0.25,1.75,0.93349564
1,0.25,2.0,0.870628
1,0.5,0.0,0.9562917
1,0.5,0.25,0.9562917
1,0.5,0.5,0.9291202
1,0.5,0.75,0.94290197
1,0.5,1.0,0.90194863
1,0.5,1.25,0.8669646
1,0.5,1.5,0.8799953
1,0.5,1.75,0.9145149
1,0.5,2.0,0.8709828
1,0.75,0.0,0.9781938
1,0.75,0.25,0.9781938
1,0.75,0.5,0.9429021
1,0.75,0.75,0.96074885
1,0.75,1.0,0.9076102
1,0.75,1.25,0.862421
1,0.75,1.5,0.87948287
1,0.75,1.75,0.92414427
1,0.75,2.0,0.8712059
1,1.0,0.0,0.91258323
1,1.0,0.25,0.91258323
1,1.0,0.5,0.9019487
1,1.0,0.75,0.9076102
1,1.0,1.0,0.8913141
1,1.0,1.25,0.8765852
1,1.0,1.5,0.88191813
1,1.0,1.75,0.89553434
1,1.0,2.0,0.87133765
1,1.25,0.0,0.857344
1,1.25,0.25,0.857344
1,1.25,0.5,0.8669646
1,1.25,0.75,0.862421
1,1.25,1.0,0.8765852
1,1.25,1.25,0.88757235
1,1.25,1.5,0.8826554
1,1.25,1.75,0.8710598
1,1.25,2.0,0.87027436
1,1.5,0.0,0.8780724
1,1.5,0.25,0.8780724
1,1.5,0.5,0.87999517
1,1.5,0.75,0.87948287
1,1.5,1.0,0.88191813
1,1.5,1.25,0.8826555
1,1.5,1.5,0.8822777
1,1.5,1.75,0.87987655
1,1.5,2.0,0.8703723
1,1.75,0.0,0.9334956
1,1.75,0.25,0.9334956
1,1.75,0.5,0.9145149
1,1.75,0.75,0.9241442
1,1.75,1.0,0.89553434
1,1.75,1.25,0.8710597
1,1.75,1.5,0.87987655
1,1.75,1.75,0.9044593
1,1.75,2.0,0.8702861
